campaign_name,country,platform,spend,revenue,Domino Dreams Marketing Campaigns Daily Metrics Full ROAS D7,installs
DT_DD_US_Display,US,iOS,4200.00,378.00,0.90,950
DT_DD_US_Video,US,iOS,7500.00,2625.00,3.50,1875
DT_DD_US_Native,US,Android,5800.00,1160.00,2.00,1620
DT_DD_CA_Display,CA,iOS,2800.00,252.00,0.90,700
DT_DD_CA_Video,CA,Android,3500.00,1050.00,3.00,980
DT_DD_UK_Display,UK,iOS,4100.00,492.00,1.20,1140
DT_DD_UK_Video,UK,Android,5200.00,1820.00,3.50,1445
DT_DD_DE_Display,DE,iOS,2200.00,132.00,0.60,610
DT_DD_DE_Video,DE,Android,3800.00,1140.00,3.00,1055
DT_DD_AU_Display,AU,iOS,1900.00,190.00,1.00,530
DT_DD_AU_Video,AU,Android,2600.00,910.00,3.50,720
DT_DD_JP_Display,JP,iOS,3200.00,256.00,0.80,890
DT_DD_JP_Video,JP,Android,4800.00,1680.00,3.50,1335
DT_DD_BR_Display,BR,iOS,1500.00,75.00,0.50,420
DT_DD_BR_Video,BR,Android,2200.00,550.00,2.50,610
DT_DD_MX_Display,MX,iOS,1800.00,162.00,0.90,500
DT_DD_MX_Video,MX,Android,2400.00,720.00,3.00,670
DT_DD_IN_Display,IN,iOS,800.00,40.00,0.50,230
DT_DD_IN_Video,IN,Android,1200.00,300.00,2.50,335
DT_DD_KR_Native,KR,iOS,3600.00,1080.00,3.00,1000
