campaign,spend,revenue,roas_d7,installs,cpi,country,platform
DD_US_iOS_FB_Broad,5420.50,450.30,0.83,1205,4.50,US,iOS
DD_US_iOS_FB_LAL,8340.00,1250.75,1.50,2100,3.97,US,iOS
DD_US_Android_UAC,12500.00,3125.00,2.50,3500,3.57,US,Android
DD_CA_iOS_TikTok,3200.00,480.00,1.50,850,3.76,CA,iOS
DD_UK_Android_FB,6750.00,2025.00,3.00,1800,3.75,UK,Android
DD_DE_iOS_Snap,2100.00,168.00,0.80,560,3.75,DE,iOS
DD_AU_Android_UAC,4500.00,1350.00,3.00,1125,4.00,AU,Android
DD_FR_iOS_FB,1850.00,370.00,2.00,510,3.63,FR,iOS
DD_JP_Android_Line,7200.00,2160.00,3.00,1920,3.75,JP,Android
DD_KR_iOS_KakaoT,5100.00,510.00,1.00,1360,3.75,KR,iOS
DD_BR_Android_FB,3800.00,266.00,0.70,1050,3.62,BR,Android
DD_MX_iOS_TikTok,2400.00,480.00,2.00,670,3.58,MX,iOS
DD_IN_Android_UAC,1200.00,180.00,1.50,400,3.00,IN,Android
DD_US_iOS_Unity,9800.00,3430.00,3.50,2800,3.50,US,iOS
DD_US_Android_Liftoff,6200.00,186.00,0.30,1720,3.60,US,Android
DD_CA_Android_ironSource,4100.00,984.00,2.40,1140,3.60,CA,Android
DD_UK_iOS_AppLovin,5500.00,1925.00,3.50,1530,3.59,UK,iOS
DD_DE_Android_Vungle,2800.00,308.00,1.10,780,3.59,DE,Android
DD_AU_iOS_Mintegral,3100.00,620.00,2.00,860,3.60,AU,iOS
DD_FR_Android_FB_Retarget,1500.00,450.00,3.00,420,3.57,FR,Android
